ax,ay,az,speed,label
-1.01,0.5,3.16,0.0,walk
-0.81,0.13,1.85,0.0,walk
-0.6,-0.36,0.84,0.0,walk
-0.42,-0.74,0.24,0.0,walk
-0.3,-0.99,-0.25,0.0,walk
-0.27,-1.12,-0.76,0.0,walk
-0.31,-1.15,-1.21,0.0,walk
-0.44,-1.09,-1.46,0.0,walk
-0.64,-0.87,-1.63,0.0,walk
-0.87,-0.69,-1.82,0.0,walk
-0.98,-0.58,-1.88,0.0,walk
-1.09,-0.63,-1.86,0.0,walk
-1.15,-0.57,-1.88,0.0,walk
-1.17,-0.55,-1.65,0.0,walk
-1.06,-0.64,-1.48,0.0,walk
-0.95,-0.66,-1.44,0.0,walk
-0.79,-0.67,-1.5,0.0,walk
-0.58,-0.68,-1.77,0.0,walk
-0.32,-0.64,-2.11,0.0,walk
-0.05,-0.53,-2.57,0.0,walk
0.22,-0.38,-2.97,0.0,walk
0.45,-0.25,-3.29,0.0,walk
0.74,-0.12,-3.51,0.0,walk
1.11,0.03,-3.54,0.0,walk
1.33,0.13,-3.2,0.0,walk
1.25,-0.09,-3.03,0.0,walk
1.11,-0.32,-2.95,0.0,walk
1.04,-0.51,-2.9,0.0,walk
0.9,-0.53,-3.08,0.0,walk
0.83,-0.33,-3.33,0.0,walk
0.79,-0.13,-3.79,0.0,walk
0.85,0.11,-4.15,0.0,walk
0.9,0.3,-4.33,0.0,walk
0.81,0.33,-4.22,0.0,walk
0.64,0.3,-3.99,0.0,walk
0.49,0.07,-3.74,0.0,walk
0.17,-0.46,-3.51,0.0,walk
0.34,-0.51,-2.79,0.0,walk
0.5,-0.51,-2.55,0.0,walk
0.43,-0.56,-2.7,0.0,walk
0.42,-0.37,-2.73,0.0,walk
0.55,0.01,-2.66,0.0,walk
0.71,0.43,-2.52,0.0,walk
0.6,0.83,-2.19,0.0,walk
0.34,1.2,-1.61,0.0,walk
0.36,1.44,-0.87,0.0,walk
0.65,1.45,-0.15,0.0,walk
0.83,1.28,0.87,0.0,walk
0.84,1.11,2.22,0.0,walk
0.64,1.04,3.05,0.0,walk
0.64,1.16,1.95,0.0,walk
0.68,1.16,0.42,0.0,walk
1.05,1.19,-0.96,0.0,walk
1.48,1.68,-2.0,0.0,walk
1.5,2.4,-2.38,0.0,walk
1.92,2.81,-2.32,0.0,walk
2.81,2.63,-2.0,0.0,walk
3.42,1.78,-1.24,0.0,walk
3.95,1.12,1.9,0.0,walk
4.01,-0.19,7.12,0.0,walk
3.57,-1.46,12.35,0.0,walk
3.08,-0.81,15.48,0.0,walk
2.52,1.66,16.84,0.0,walk
1.89,4.5,17.19,0.0,walk
1.48,6.67,17.63,0.0,walk
1.28,6.83,18.5,0.0,walk
0.96,5.62,19.23,0.9394086413679262,walk
0.79,4.34,18.95,0.9394086413679262,walk
0.47,3.34,17.07,0.9394086413679262,walk
-0.35,2.74,14.27,0.9394086413679262,walk
-1.55,2.12,11.5,0.9394086413679262,walk
-2.45,1.8,8.61,0.9394086413679262,walk
-2.99,1.62,5.58,0.9394086413679262,walk
-3.07,1.39,3.21,0.9394086413679262,walk
-2.77,1.13,1.86,0.9394086413679262,walk
-2.62,0.58,1.3,0.9394086413679262,walk
-2.6,-0.12,1.29,0.9394086413679262,walk
-2.22,-0.51,1.18,0.9394086413679262,walk
-1.69,-0.8,0.73,0.9394086413679262,walk
-1.09,-1.44,-0.1,0.9394086413679262,walk
-0.61,-2.8,-1.22,0.9394086413679262,walk
0.2,-4.13,-2.5,0.9394086413679262,walk
0.89,-5.57,-4.05,0.9394086413679262,walk
1.61,-7.41,-5.25,0.9394086413679262,walk
2.67,-8.9,-6.06,0.9394086413679262,walk
3.87,-9.94,-6.62,0.9394086413679262,walk
4.81,-10.81,-6.38,0.9394086413679262,walk
5.29,-11.81,-5.34,0.9394086413679262,walk
5.81,-12.98,-4.34,0.9394086413679262,walk
6.75,-14.02,-4.43,0.9394086413679262,walk
7.79,-15.0,-5.88,0.9394086413679262,walk
8.98,-15.69,-7.54,0.9394086413679262,walk
9.88,-16.29,-8.75,0.9394086413679262,walk
10.31,-16.64,-8.69,0.9394086413679262,walk
10.14,-16.68,-7.67,0.9394086413679262,walk
9.18,-16.08,-6.34,0.9394086413679262,walk
8.2,-15.19,-4.39,0.9394086413679262,walk
7.28,-14.51,-2.51,0.9394086413679262,walk
6.26,-13.12,-1.18,0.9394086413679262,walk
5.59,-12.19,-0.51,0.9394086413679262,walk
4.48,-11.5,-0.66,0.9394086413679262,walk
2.98,-11.2,-1.3,0.9394086413679262,walk
0.89,-11.31,-2.16,0.9394086413679262,walk
-1.9,-11.47,-2.7,0.9394086413679262,walk
-5.2,-10.85,-2.2,0.9394086413679262,walk
-9.57,-8.16,-0.1,0.9394086413679262,walk
-15.51,-2.02,3.67,0.9394086413679262,walk
-22.49,5.17,6.73,0.9394086413679262,walk
-29.88,10.13,7.59,0.9394086413679262,walk
-34.96,14.55,7.02,0.9394086413679262,walk
-35.34,19.57,6.21,0.9394086413679262,walk
-32.46,21.58,6.08,0.9394086413679262,walk
-27.37,19.64,6.22,0.9394086413679262,walk
-20.81,15.93,5.91,0.9394086413679262,walk
-13.95,12.01,4.84,0.9394086413679262,walk
-8.12,8.71,3.34,0.9394086413679262,walk
-3.34,7.34,1.75,0.9394086413679262,walk
-0.09,7.39,0.49,0.9394086413679262,walk
2.25,7.88,-0.41,0.9394086413679262,walk
4.19,8.13,-1.52,0.9394086413679262,walk
6.24,7.73,-3.06,0.9394086413679262,walk
8.48,7.06,-4.64,0.9394086413679262,walk
10.6,6.21,-5.63,0.9394086413679262,walk
12.48,5.28,-5.82,0.9394086413679262,walk
14.21,4.61,-5.23,0.9394086413679262,walk
16.15,4.26,-4.07,0.9394086413679262,walk
17.94,4.43,-2.92,0.9394086413679262,walk
18.98,4.48,-2.18,0.9394086413679262,walk
19.24,3.88,-1.77,0.9394086413679262,walk
18.87,3.09,-1.29,0.9394086413679262,walk
17.82,2.73,-1.07,0.9394086413679262,walk
16.42,2.84,-1.3,0.9394086413679262,walk
14.78,3.62,-1.42,0.9394086413679262,walk
13.17,4.91,-1.41,0.9394086413679262,walk
11.47,6.47,-1.22,0.9394086413679262,walk
10.03,8.37,-0.42,0.9394086413679262,walk
8.6,10.16,0.87,0.9394086413679262,walk
6.86,12.02,2.32,0.9394086413679262,walk
3.91,13.88,3.87,0.9394086413679262,walk
-0.43,15.44,4.99,0.9394086413679262,walk
-4.82,15.9,4.78,0.9394086413679262,walk
-8.83,16.66,3.22,0.9394086413679262,walk
-12.9,19.92,2.79,0.9394086413679262,walk
-17.69,22.62,5.44,0.9394086413679262,walk
-24.05,22.43,9.39,0.9394086413679262,walk
-30.98,22.81,11.89,0.9394086413679262,walk
-35.94,23.14,13.11,0.9394086413679262,walk
-36.24,18.72,13.19,0.9394086413679262,walk
-31.88,9.5,11.67,0.9394086413679262,walk
-24.59,0.88,8.7,0.9394086413679262,walk
-17.21,-4.67,6.09,0.9394086413679262,walk
-11.66,-7.47,5.44,0.9394086413679262,walk
-8.15,-8.35,6.03,0.9394086413679262,walk
-5.79,-8.69,6.37,0.9394086413679262,walk
-3.86,-9.43,5.64,0.9394086413679262,walk
-2.3,-10.64,3.72,0.9394086413679262,walk
-0.52,-11.99,1.47,0.9394086413679262,walk
1.41,-13.15,-0.11,0.9394086413679262,walk
3.12,-13.94,-0.56,0.9394086413679262,walk
4.23,-14.79,-0.17,0.9394086413679262,walk
4.84,-15.92,0.9,0.9394086413679262,walk
5.27,-17.31,2.08,0.9394086413679262,walk
5.51,-19.17,2.32,0.9394086413679262,walk
5.94,-21.05,1.8,0.9394086413679262,walk
6.59,-22.89,0.81,1.2589348391693225,walk
