ax,ay,az,speed,label
-0.26,0.63,-1.86,-1.0,walk
-0.35,0.96,-1.91,-1.0,walk
-0.36,1.02,-1.64,-1.0,walk
-0.37,1.04,-1.54,-1.0,walk
-0.21,1.17,-1.36,-1.0,walk
0.0,1.2,-1.04,-1.0,walk
-0.01,1.06,-0.74,-1.0,walk
-0.04,0.99,-0.65,-1.0,walk
0.05,1.12,-0.64,-1.0,walk
0.18,1.26,-0.65,-1.0,walk
0.21,1.33,-0.65,-1.0,walk
0.11,1.31,-0.55,-1.0,walk
-0.01,1.33,-0.25,-1.0,walk
-0.09,1.44,0.34,-1.0,walk
-0.1,1.44,1.09,-1.0,walk
-0.06,1.26,1.68,-1.0,walk
-0.03,1.15,1.92,-1.0,walk
0.03,1.04,1.83,-1.0,walk
0.02,0.83,1.52,-1.0,walk
0.05,0.66,1.44,-1.0,walk
0.08,0.62,1.52,-1.0,walk
0.02,0.79,1.62,-1.0,walk
-0.06,0.99,1.6,-1.0,walk
-0.12,1.05,1.56,-1.0,walk
-0.14,0.94,1.63,-1.0,walk
-0.26,0.61,2.42,-1.0,walk
-0.27,0.31,2.5,-1.0,walk
-0.11,-0.11,1.88,-1.0,walk
-0.08,-0.36,2.19,-1.0,walk
0.02,-0.69,2.44,-1.0,walk
0.15,-1.14,2.73,-1.0,walk
0.22,-1.44,2.48,-1.0,walk
0.36,-1.6,1.89,-1.0,walk
0.54,-1.59,1.19,-1.0,walk
0.7,-1.52,0.42,-1.0,walk
0.81,-1.41,-0.23,-1.0,walk
0.88,-1.24,-0.62,-1.0,walk
0.97,-1.13,-0.71,-1.0,walk
0.98,-1.21,-0.68,-1.0,walk
0.95,-1.37,-0.58,-1.0,walk
0.87,-1.53,-0.36,-1.0,walk
0.74,-1.66,-0.09,-1.0,walk
0.62,-1.71,0.24,-1.0,walk
0.5,-1.74,0.53,-1.0,walk
0.38,-1.78,0.67,-1.0,walk
0.34,-1.77,0.59,-1.0,walk
0.37,-1.7,0.35,-1.0,walk
0.42,-1.64,-0.05,-1.0,walk
0.46,-1.54,-0.58,-1.0,walk
