time,ax,ay,az,speed
1970-01-01 00:00:00.000000000,-0.2463643740547613,0.665148270061713,2.549312956187647,0.8610269739823083
1970-01-01 00:00:00.000000000,-0.2743631146600549,0.7407804758854241,2.3331794683080544,0.7474991317412693
1970-01-01 00:00:00.000000000,-0.5054926884518562,0.7527592285337171,2.3633673378187225,0.7467366106735737
1970-01-01 00:00:00.000000000,-0.6680982213671413,0.6576092103735356,2.5516291686460617,0.746732250246567
1970-01-01 00:00:00.000000000,-0.7475004734145205,0.5673161770438311,2.845246941117057,0.7381132494286111
1970-01-01 00:00:00.000000000,-0.7856889085040425,0.4521948990063424,3.0623055707108393,0.7330451914751417
1970-01-01 00:00:00.000000000,-0.8220033405922729,0.0711514241103568,3.266208796058574,0.7417646263358895
1970-01-01 00:00:00.000000000,-0.8916284353196264,-0.3344209575681407,3.5720174133292066,0.7497375880051566
1970-01-01 00:00:00.000000000,-0.9367684406459175,-0.8493373855683142,3.9294412567117303,0.7607825206377632
1970-01-01 00:00:00.000000000,-0.9535601120990866,-1.3745113603674946,4.246073610296385,0.773019939576048
1970-01-01 00:00:00.000000000,-0.9774095544043029,-1.5920427067110898,4.1349728589334855,0.7896348635111585
1970-01-01 00:00:00.000000000,-1.0798858105096882,-1.5863318528740515,3.4225034488656605,0.8298836211358649
1970-01-01 00:00:00.000000000,-1.235858267280368,-1.469793948321018,2.2917436330065897,0.8947986576771892
1970-01-01 00:00:00.000000000,-1.2914794622443382,-1.2343253627907986,1.0683540313148563,0.9519119031036001
1970-01-01 00:00:00.000000000,-1.3753543753362834,-0.9277903931179725,-0.016984333592924204,0.9944755579853163
1970-01-01 00:00:00.000000000,-1.5581130274827621,-0.6883275645004139,-0.8992433514297631,1.0350682273467202
1970-01-01 00:00:00.000000000,-1.7199646504165111,-0.5521396076327192,-1.407671914250209,1.06573319908936
1970-01-01 00:00:00.000000000,-1.730509245262925,-0.6369708475987632,-1.5254273393416136,1.0806515200029803
1970-01-01 00:00:00.000000000,-1.6941579308724384,-0.9183310080797867,-1.551123978519254,1.0980524883979674
1970-01-01 00:00:00.000000000,-1.6561708386539018,-1.1229685799677083,-1.5699222900904903,1.1102158352826723
1970-01-01 00:00:00.000000000,-1.62921155447262,-1.170918712758133,-1.6058759156337992,1.1171293804771083
1970-01-01 00:00:00.000000000,-1.5576970230955025,-1.1783466536194156,-1.7252374211396073,1.1242198264344545
1970-01-01 00:00:00.000000000,-1.4803014548062106,-1.2528280581849953,-1.8339215783545137,1.1368711879869662
1970-01-01 00:00:00.000000000,-1.3384821442289927,-1.328875511509239,-1.9715097885659956,1.1488900330326388
1970-01-01 00:00:00.000000000,-1.1701273897950006,-1.3613024857826093,-2.131334446145504,1.15712034862888
1970-01-01 00:00:00.000000000,-1.0280578030651317,-1.36270681495269,-2.2609354676940705,1.1653965475683736
1970-01-01 00:00:00.000000000,-0.8330859010417361,-1.331576865787288,-2.313718529441647,1.1672434658226916
1970-01-01 00:00:00.000000000,-0.5781565008983763,-1.2847730268397706,-2.4043692927661438,1.163724942061289
1970-01-01 00:00:00.000000000,-0.3914344250956867,-1.2115443388664195,-2.45850185522408,1.157532867805029
1970-01-01 00:00:00.000000000,-0.26575075828358846,-1.126655855792263,-2.4249125315226556,1.148383133388588
1970-01-01 00:00:00.000000000,-0.15756779668056234,-0.9262951593655571,-2.482267887728552,1.1391327197986485
1970-01-01 00:00:00.000000000,-0.040110223209526064,-0.620621973188625,-2.5836289632590552,1.1293441530169006
1970-01-01 00:00:00.000000000,0.15082762253072596,-0.31947144587460885,-2.764687449413216,1.122638460463128
1970-01-01 00:00:00.000000000,0.3906275902497478,-0.06873332023751008,-3.126558425709406,1.1267204026286644
1970-01-01 00:00:00.000000000,0.6402188006550353,0.04541231498772837,-3.570649529214844,1.1390053039894863
1970-01-01 00:00:00.000000000,0.8141801948686798,0.05306680383765007,-3.772777884159904,1.143076161971683
1970-01-01 00:00:00.000000000,0.8801190436582789,0.03756295017111094,-3.644181781560295,1.132675008740946
1970-01-01 00:00:00.000000000,0.8785997156431937,0.12635525563903321,-3.4549078131114355,1.1128238568432318
1970-01-01 00:00:00.000000000,0.7988898407445628,0.2894087101488563,-3.2229494143823896,1.0874012620451556
1970-01-01 00:00:00.000000000,0.6461875378791053,0.4961843080357534,-3.0062219855574166,1.0639669859843701
1970-01-01 00:00:00.000000000,0.489002870830948,0.7484531474898015,-2.8041586549945783,1.0390452781588726
1970-01-01 00:00:00.000000000,0.3120939103939937,0.9987510958993198,-2.6693612775857556,1.0354083239683542
1970-01-01 00:00:00.000000000,0.21563747567572328,1.1942280081605992,-2.5421942734520506,1.4018334133082062
1970-01-01 00:00:00.000000000,0.14471226452314462,1.485199905623401,-2.4800893244330706,1.4021157681469467
1970-01-01 00:00:00.000000000,0.2298801226512991,1.4803194149054724,-2.0960675150066086,1.3776694495007928
1970-01-01 00:00:00.000000000,0.26827641403333263,1.4460303463704107,-1.6511275311993068,1.355792569527706
1970-01-01 00:00:00.000000000,0.3606825560213351,1.3262850877915324,-1.2205906766787837,1.3407422300503498
1970-01-01 00:00:00.000000000,0.5405158309100094,1.0085194767511139,-0.9099682863777545,1.3373272461890329
1970-01-01 00:00:00.000000000,0.7045756375772373,0.8578071101113877,-0.6444867298977266,1.3193868942835691
1970-01-01 00:00:00.000000000,0.6735321310457928,1.0522445732849741,-0.3412013438322102,1.2843181281031326
1970-01-01 00:00:00.000000000,0.5058317966889438,1.3358052657632231,0.21505934360838402,1.2384386132885352
